Word,Frequency
kimdi,2
kimin,1
kiminmiş,1
kimlik,1
kimliği,1
kimse,4
kitap,2
kitapta,2
kişi,5
klasik,1
koltuğu,1
komşunun,1
komşusu,1
kontrollü,1
konuda,3
konular,1
konularda,1
konuşalım,1
konuşmacı,1
konuşmamızı,1
konuştuk,1
konuştuğumuz,1
konuşunca,1
konuşuyor,2
kopması,1
kopmayacak,1
korkacak,1
korkardı,1
korkutucu,1
korkutuyordum,1
korumuyor,1
korur,1
korusun,4
koruyabilse,1
koruyor,1
koyacaklar,1
koyalım,1
koyduğunda,2
koymuşlar,1
koyuyorlar,1
kucağına,1
kulaklarında,1
kullanacak,1
kullanacağım,1
kullanalım,1
kullanamayacağım,3
kullanamaz,1
kullandım,3
kullandığı,1
kullanmadı,1
kullanmak,1
kullanmayı,1
kullanmıyor,1
kullanmış,2
kullanırsın,1
kullanıyor,2
kullanıyorlar,1
kurallara,1
kuralları,1
kurtardık,1
kurumu,1
kuruyor,2
kutuplaşması,1
kuzenim,1
kuzeyden,1
kömür,2
köpek,9
köpekler,3
köpeklere,1
köpekleri,1
köpekten,1
köpeği,2
köpeğin,1
kötü,3
köy,2
köşe,1
künefe,5
künefeci,2
künefeciye,1
künefede,1
künefenin,2
künefesine,1
künefeyi,1
küçük,5
küçükleri,1
küçüğü,2
kılıçdaroğlu,1
kırk,1
kırmızı,2
kısa,3
kıskançlıkta,1
kız,10
kızartması,1
kızlarla,1
kızı,2
kızım,2
kızına,1
laf,1
lafını,1
lahmacun,1
lahmacunu,1
lale,1
laleye,1
laleyi,4
lazım,8
lezzet,3
lezzetli,1
lisede,1
liseden,1
maalesef,3
mail,1
malzemeyi,1
market,2
markete,1
masaya,1
maşallah,2
mecliste,2
memleketler,1
mendili,2
menüsü,1
merak,2
mercimek,1
merhaba,1
mesaj,4
mesajlaştık,1
mesela,22
meşhur,1
mi,45
mick,1
minik,1
misin,1
mitingine,1
miydi,2
moralim,3
mottom,1
mu,15
muhabbet,1
muhammed,1
muharrem,3
muhtemelen,1
mustafa,1
musun,6
mutfağımızda,1
mutlu,2
mutlular,1
mutsuz,1
muydu,1
muymuş,1
muyuz,1
mü,2
müdahale,2
mühim,1
mümkün,2
mı,31
mısın,5
mısınız,1
mıydı,2
napayım,1
nasip,1
nasıl,12
nasılmış,1
naturel,1
ncde,1
ne,32
neden,5
nefes,1
nerdeyse,1
nerede,3
neredeymiş,1
neredeyse,2
nereye,3
new,3
neydi,2
neye,1
neyi,1
neymiş,2
neyse,8
niye,4
niyetiyle,1
noah,4
normal,4
notları,1
novemberda,1
ntv,1
ntvde,1
o,80
odasına,2
okan,2
oku,1
okula,5
okulda,2
okulu,1
okuyacak,1
ol,1
olabileceği,1
olabilir,5
olabilirsin,1
olabiliyor,3
olacak,14
olacağız,1
olan,2
olarak,1
olaylara,1
olayı,2
oldu,6
olduğu,8
olduğunca,2
olduğunu,2
olgunlaştık,1
olmadı,3
olmadığı,1
olmaması,1
olmamız,1
olması,2
olmasın,1
olmaz,15
olmazsa,1
olmuyor,2
olmuş,2
olmuştur,1
olsa,5
olsun,3
olunca,2
olur,11
olursa,1
oluyor,15
oluyorlar,2
oluyorsun,2
oluyorum,2
omuz,1
on,7
ona,5
ondan,7
onlar,4
onlardan,1
onları,2
onların,1
onsuz,1
onu,19
onun,8
onunla,2
onur,4
orada,12
oradaki,1
oradan,2
oralar,3
oranın,1
orası,1
oraya,8
orayı,1
ordan,1
organize,1
ortada,1
oruçlu,1
oruçta,1
otel,1
otobüs,1
otobüsten,1
otomatik,1
otu,4
otunu,1
oturdum,1
oturuyor,2
oturuşta,1
otuz,1
oy,2
oydur,1
oğlu,3
pahalı,2
pantolon,1
paraya,1
pardon,5
partinin,2
parça,2
parçalar,1
parçası,1
patates,1
patilerini,1
pazar,1
pazara,4
pazartesi,4
pazarına,1
pek,2
peki,4
pepsi,2
pepsili,1
pepsiye,1
pepsiyi,1
peynir,4
peyniri,1
peynirli,1
pidesi,2
pidesini,1
pişiriliyor,1
pişiriyor,1
pişiriyorsunuz,1
plaka,1
postacıların,1
poyraz,1
pozitif,1
prim,1
programı,1
programın,1
programında,1
programını,1
rahatlatırdı,1
rahatsız,4
ramazan,1
raporu,1
rengi,2
resimlerde,1
resmini,1
restoranda,1
retrieverların,1
saat,2
saatte,1
sabah,6
sabahları,1
sabahtan,1
sabri,12
sabricim,1
sabriyi,1
sabriyle,1
sadece,2
sadesi,1
sakince,1
salatası,1
salatasını,1
saldırabilir,1
saldıracak,1
saldırdılar,1
saldırıyorlar,2
salı,2
sana,12
sanırım,2
satan,1
sağ,2
sağlıklı,1
schoola,1
sefer,2
seferleri,1
selamlar,1
semiz,5
sen,14
sence,2
sende,1
sene,9
senede,1
seneden,1
senesi,1
seneye,2
seni,5
senin,11
ses,3
sesini,1
sesten,1
sever,2
severdim,1
severim,1
sevgili,1
seviyede,1
seviyor,3
seviyordu,1
seviyorlar,1
seviyorum,7
sevmem,1
sevmiyor,1
sevmiyorum,2
sevmiştim,1
seyahat,1
seyretmeyi,1
seyrettik,1
sezil,1
sezilin,1
seçime,2
seçimi,2
seçme,1
sil,1
silah,1
sildim,1
silemese,1
siler,1
siliyor,3
simge,31
simgecim,1
simgede,1
simgenin,4
simgeye,6
simgeyi,1
simgeyle,1
sinek,1
sinema,1
siz,5
sizdeydi,1
sizi,1
sloganı,2
sohbet,1
sokak,1
son,4
sona,1
sonra,18
sonraki,1
sonu,1
sonunda,1
sonuçta,8
soralım,1
sordu,1
sordum,2
sorgulamadım,1
sormadı,1
sormuyor,3
sormuyorsun,1
sorsak,1
soru,2
sorunca,1
soruyor,1
sosyal,1
soyadlarını,1
soyadı,1
spor,3
su,1
sunuyorlar,2
sussun,1
söyledi,1
söyledik,1
söyledim,3
söyledin,1
söylemiyorum,1
söylemiyoruz,1
söylemiştin,1
söylenenleri,1
söylerdi,1
söyleyecektim,1
söyleyeceğim,1
söylüyorsun,1
söylüyoruz,1
sümeyye,9
sümeyyenin,1
sünni,2
sünniler,1
sünnilere,1
süper,2
süpüreyim,1
süre,5
sürekli,1
sürpriz,1
sürü,1
süt,4
sıcak,2
sıcaklık,1
sık,1
sıkıntı,1
sınıf,2
sınıfa,2
sınıfta,1
sır,2
sırf,1
tabakta,1
tabağın,1
tabi,28
tahmin,1
tahta,1
takacak,1
takipte,1
takıyorlar,1
tam,2
tamam,8
tamamladık,2
tane,12
tanesini,1
tanıyor,2
tarafa,1
tarafta,1
taraftan,1
tarafı,1
tarafında,1
tatillerinde,1
tatlı,7
tatlılar,2
tatlılıkla,1
tatlısı,1
taze,2
taşındılar,1
taşındığımızda,1
tedirgin,5
tek,1
tekrar,2
telefonda,1
telefondan,1
televizyona,1
televizyonda,1
temizledim,1
temizlik,1
tereyağı,2
tesettürlü,2
texasa,1
texasta,1
tez,1
tezinde,1
titiz,2
tonum,1
toparlaması,1
tost,3
trafik,1
turist,2
tutup,1
tutuyor,1
tuz,1
tuzsuz,2
tüketiyoruz,1
tüm,3
türk,2
türkiye,4
türkiyede,9
türkiyenin,1
türkiyesi,1
türkiyesiyle,1
türkiyeye,7
türkler,2
türkten,1
türkçe,1
türkçesi,1
tüy,1
tüyü,1
tüzük,1
tüzükte,1
tıklım,2
tırnak,2
umuttur,1
unutmayalım,1
unutmuştum,1
unuttuk,1
utahda,1
uyguluyor,1
uyku,1
uymuyor,1
uyusun,1
uyuyordur,3
uzayabilir,1
uzun,7
uçakla,1
uğradılar,1
uğraşacağız,1
vakit,6
vakti,5
valla,4
vallahi,1
var,45
vardı,4
vardır,1
varmış,2
vay,2
ve,13
vejetaryen,1
vekilliği,1
verdim,1
verdiği,1
verdiğim,2
vereceksin,1
verelim,1
veriyor,2
veriyordu,1
vermemen,1
vermez,2
vermiyor,2
vesaire,3
videolar,3
videosunu,1
vurunca,1
weble,1
welldone,1
whatsapp,2
whatsappın,1
wi,1
ya,72
yabancı,1
yaklaşamazdı,1
yaklaşamıyor,2
yaklaşmıyorlar,1
yakmadan,1
yakın,2
yakında,1
yakınındakine,2
yalnız,2
yalıyor,1
yan,2
yana,1
yani,106
yanlış,1
yanında,1
yanını,1
yap,8
yapabiliyor,2
yapabiliyorlar,1
yapabiliyorsun,1
yapacak,1
yapacağım,2
yapamayız,1
yapamaz,2
yapamıyor,1
yapan,2
yapmak,2
yapmış,2
yapsam,1
yapsın,2
yaptı,2
yaptım,2
yapıyor,6
yapıyordu,1
yapıyorlar,2
yapıyorlarmış,1
yapıyorsun,2
yapıyorsunuz,1
yapıyorum,1
yapıyoruz,1
yaratmış,1
yardım,1
yardımcı,2
yarım,7
yarın,1
yarısı,1
yasal,2
yatacak,1
yatakta,1
yatık,3
yatırıp,1
yatırıyorlar,1
yavaş,2
yavrum,1
yayıyormuş,1
yaz,4
yaza,2
yazar,1
yazdı,1
yazdım,5
yazdın,1
yazlık,1
yazmamda,1
yazmıyorsa,1
yazmış,2
yazsın,1
yazık,2
yazın,1
yazıp,1
yazıyor,6
yazıyorduk,1
yazıyorsa,5
yaşa,1
yaşamıştık,1
yaşatan,1
yaşayacaksın,1
yaşlandı,1
yaşlılık,1
yaşında,1
yaşından,4
yaşıyor,1
yaşıyorlar,1
ye,1
yedi,1
yedik,2
yediklerinle,1
yedim,3
yedinin,1
yemek,6
yemem,1
yemez,1
yemezsin,1
yemeğe,3
yemeği,2
yemiyor,2
yemiyorsun,1
yemiyorum,4
yemiş,1
yemyeşil,1
yeni,4
yeniliyor,1
yer,4
yerde,4
yerdeydim,1
yerdim,2
yerdin,1
yeri,3
yerinden,1
yeriz,1
yerlerde,1
yerli,1
yersin,2
yesen,1
yeter,1
yeterli,1
yeşil,9
yine,10
yirmi,1
yiye,2
yiyebilirim,1
yiyecek,1
yiyeceğim,1
yiyelim,1
yiyemez,1
yiyemezsin,1
yiyenler,1
yiyince,1
yiyor,2
yiyorlar,1
yiyorlarmış,1
yiyorum,3
yiyoruz,1
yok,22
yoksa,3
yolculuklar,1
yollayacağım,1
yolunda,1
yorgun,1
york,1
yorkta,2
yukarda,1
yunan,2
yunana,1
yunanlardan,1
yönde,1
yöresel,1
yükselt,1
yürürken,2
yürüyüşe,1
yüzde,1
yüzden,4
yüzüme,1
yüzün,1
yıkadım,1
yıkamıyor,1
yıkıyorum,1
yılda,1
zaman,6
zamanda,1
zamandan,2
zamanlıya,1
zamanı,2
zamanın,1
zannetmiş,2
zararlı,2
zaten,21
zavallılar,1
zaynepgile,1
zevkle,2
zeynep,7
zeynepler,3
zeytinyağlı,2
zor,3
zorunlu,2
çalışma,1
çalışmalar,1
çalışmalarınızda,1
çalışmaya,1
çalışmış,1
çalıştığı,1
çalıştığını,1
çalışırken,1
çanakkalede,1
çanakkaleye,2
çankaya,1
çanta,1
çarşamba,1
çarşı,1
çarşıya,1
çarşıyı,1
çatal,1
çekiyor,1
çete,1
çevreye,1
çeşit,3
çeşmede,1
çeşmedesin,1
çeşmeye,1
çiftler,1
çocuk,16
çocuklar,1
çocuklara,1
çocukları,3
çocukların,1
çocuklu,1
çocuktaki,1
çocuğa,2
çocuğun,5
çocuğuyuz,1
çok,72
çorap,1
çorbasını,1
çoğu,1
çünkü,21
çıkan,2
çıkar,1
çıkaracaksın,2
çıkaralım,1
çıkarmak,1
çıkarsın,1
çıkartabiliriz,3
çıkartmıştım,1
çıkmıştı,1
çıksın,1
çıktı,2
çıkıyor,1
öbür,2
öbürü,2
önce,5
önceki,1
önemli,4
önüne,1
örtüyor,1
öteye,1
öyle,31
öyledir,1
özel,2
özele,1
özellikle,4
özgürlük,1
özledim,2
özlemiyle,1
özür,1
öğrencim,1
öğrencinin,2
öğrencisi,1
öğreniyor,1
öğretmek,1
öğretmen,1
öğretmenler,1
öğrettim,1
üniversite,1
üniversitede,1
üniversitelerden,1
üniversitesi,1
ünlü,1
üstte,1
üzerinde,1
üzerindeki,2
üzerine,5
üzülüyorum,1
üzüyor,1
üç,11
ısıracaksın,1
şaka,1
şeker,1
şekilde,4
şekillerde,1
şerbet,4
şerbetle,1
şey,69
şeyde,6
şeydeki,1
şeyden,2
şeye,7
şeyi,3
şeyimiz,1
şeyin,2
şeyini,1
şeyle,1
şeyler,7
şeyleri,2
şimdi,37
şimdikisinin,1
şimdiye,1
şiş,3
şişe,3
şişi,2
şişlerle,1
şişmiş,1
şişte,1
şu,11
şuna,4
şunu,2
şöyle,3
zenginler,1
zevk,1
zor,1
zorunda,2
zorundasın,1
çabaladım,1
çabalamak,1
çabuk,1
çalışamadım,1
çalışanlar,1
çalışmamış,1
çalışması,1
çalıştığım,1
çalışırken,1
çalışıyor,1
çalışıyorum,2
çanta,1
çantada,1
çantanın,1
çatlak,1
çay,5
çayın,1
çeken,1
çeker,1
çekiyodu,1
çekiyor,2
çekiyordur,1
çekmek,1
çekmeyebilir,2
çekmişin,1
çeksin,1
çektim,2
çektirecek,1
çikolatalı,3
çizmem,1
çiçekler,2
çiçekçiymiş,1
çocuk,3
çocukla,1
çocuklar,8
çocuklarda,1
çocuklardan,1
çocuklarla,1
çocukların,1
çocuğu,2
çocuğuz,1
çok,110
çorba,1
çökmüş,1
çünkü,18
çıkamıyorsun,1
çıkan,1
çıkaracak,1
çıkardım,3
çıkarken,2
çıkarmadım,1
çıkarıyor,1
çıkmadı,1
çıkmak,2
çıktı,1
çıktılar,1
çıkıp,1
çıkıyorsun,1
çıkışı,1
öbürü,2
ödemedi,1
ödülünü,1
öldü,1
ölçü,1
ömer,3
ömür,1
önce,9
önemli,4
önümdekine,1
önüne,1
öpiyim,1
öpüp,1
ötekiler,1
öttürüyor,1
öyle,56
öyleydi,2
öyleydik,1
özel,3
özellikle,3
özlemişlerdir,1
öğrenciler,1
öğrencileri,1
öğrensin,1
öğretmeni,1
öğretmenleri,1
ü,1
üf,1
ümit,1
üniversite,1
üst,4
üste,1
üstleri,1
üstü,1
üstünde,2
üstündekini,1
üstüne,1
ütülemeye,1
ütülemiş,1
üye,1
üzereler,1
üzerinde,1
üzerine,1
üzülüyor,1
üzülüyordum,1
üç,12
üçe,2
üşüdüler,1
üşümek,1
üşürsün,1
üşüyorum,1
ın,1
ıspanaklı,1
ısın,1
ısınınca,1
ısınıyorlar,1
ısınıyoruz,2
ışıkla,1
şapkalar,1
şaşırmış,1
şaşırtıyor,1
şeffaf,1
şekerim,1
şekilde,1
şenay,2
